kind,point_index,minor_r_m,major_r_m,z_m
wall,4,6.2250604975e-01,2.4725060497e+00,1.3568197681e-01
wall,5,6.1830948949e-01,2.4683094895e+00,1.6932984459e-01
wall,6,6.1319864337e-01,2.4631986434e+00,2.0279638974e-01
wall,7,6.0718436981e-01,2.4571843698e+00,2.3604577542e-01
wall,8,6.0027940114e-01,2.4502794011e+00,2.6904239738e-01
wall,9,5.9249829449e-01,2.4424982945e+00,3.0175092201e-01
wall,10,5.8385737602e-01,2.4338573760e+00,3.3413632418e-01
wall,11,5.7437467867e-01,2.4243746787e+00,3.6616392481e-01
wall,12,5.6406987397e-01,2.4140698740e+00,3.9779942794e-01
wall,13,5.5296419824e-01,2.4029641982e+00,4.2900895748e-01
wall,14,5.4108037359e-01,2.3910803736e+00,4.5975909348e-01
wall,15,5.2844252425e-01,2.3784425242e+00,4.9001690793e-01
wall,16,5.1507608869e-01,2.3650760887e+00,5.1975000000e-01
wall,17,5.0100772800e-01,2.3510077280e+00,5.4892653075e-01
wall,18,4.8626523114e-01,2.3362652311e+00,5.7751525722e-01
wall,19,4.7087741743e-01,2.3208774174e+00,6.0548556589e-01
wall,20,4.5487403705e-01,2.3048740370e+00,6.3280750545e-01
wall,21,4.3828566983e-01,2.2882856698e+00,6.5945181889e-01
wall,22,4.2114362307e-01,2.2711436231e+00,6.8538997480e-01
wall,23,4.0347982877e-01,2.2534798288e+00,7.1059419795e-01
wall,24,3.8532674095e-01,2.2353267410e+00,7.3503749904e-01
wall,25,3.6671723338e-01,2.2167172334e+00,7.5869370357e-01
wall,26,3.4768449835e-01,2.1976844984e+00,7.8153747987e-01
wall,27,3.2826194694e-01,2.1782619469e+00,8.0354436627e-01
wall,28,3.0848311114e-01,2.1584831111e+00,8.2469079723e-01
wall,29,2.8838154837e-01,2.1383815484e+00,8.4495412863e-01
wall,30,2.6799074872e-01,2.1179907487e+00,8.6431266199e-01
wall,31,2.4734404533e-01,2.0973440453e+00,8.8274566770e-01
wall,32,2.2647452814e-01,2.0764745281e+00,9.0023340723e-01
wall,33,2.0541496153e-01,2.0554149615e+00,9.1675715429e-01
wall,34,1.8419770586e-01,2.0341977059e+00,9.3229921482e-01
wall,35,1.6285464341e-01,2.0128546434e+00,9.4684294601e-01
