r_m,z_m,major_r_m,psi_norm,psi_wb,br_t,bz_t,bphi_t,b_total_t,density_1e19_m3,pressure_pa,temperature_kev,j_phi_a_m2,inside_closed_surface
-8.0250000000e-01,3.4628289474e-01,1.0475000000e+00,1.0924738808e+00,2.3255512998e-01,-5.8494207019e-02,9.0909537370e-03,5.2983293556e+00,5.2986600361e+00,2.1751545673e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,3.7398552632e-01,1.0475000000e+00,1.1005748176e+00,2.3427957799e-01,-6.0066347132e-02,8.8520899417e-03,5.2983293556e+00,5.2986772204e+00,2.1707512990e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,4.0168815789e-01,1.0475000000e+00,1.1088503930e+00,2.3604120136e-01,-6.1053378160e-02,8.6083791552e-03,5.2983293556e+00,5.2986880999e+00,2.1659092025e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,4.2939078947e-01,1.0475000000e+00,1.1172204343e+00,2.3782293370e-01,-6.1452123495e-02,8.3616080086e-03,5.2983293556e+00,5.2986923142e+00,2.1606647250e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,4.5709342105e-01,1.0475000000e+00,1.1256047239e+00,2.3960769906e-01,-6.1264885427e-02,8.1133491915e-03,5.2983293556e+00,5.2986897600e+00,2.1550679656e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,4.8479605263e-01,1.0475000000e+00,1.1339237165e+00,2.4137856466e-01,-6.0498995836e-02,7.8649493684e-03,5.2983293556e+00,5.2986805854e+00,2.1491817545e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,5.1249868421e-01,1.0475000000e+00,1.1420991936e+00,2.4311888007e-01,-5.9166342327e-02,7.6175244561e-03,5.2983293556e+00,5.2986651756e+00,2.1430802854e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,5.4020131579e-01,1.0475000000e+00,1.1500548511e+00,2.4481240245e-01,-5.7282889056e-02,7.3719604807e-03,5.2983293556e+00,5.2986441318e+00,2.1368473914e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,5.6790394737e-01,1.0475000000e+00,1.1577168227e+00,2.4644340786e-01,-5.4868205464e-02,7.1289188304e-03,5.2983293556e+00,5.2986182446e+00,2.1305745577e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,5.9560657895e-01,1.0475000000e+00,1.1650141399e+00,2.4799678921e-01,-5.1945007112e-02,6.8888458644e-03,5.2983293556e+00,5.2985884630e+00,2.1243587641e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,6.2330921053e-01,1.0475000000e+00,1.1718791296e+00,2.4945814092e-01,-4.8538700004e-02,6.6519883641e-03,5.2983293556e+00,5.2985558613e+00,2.1183002477e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,6.5101184211e-01,1.0475000000e+00,1.1782477499e+00,2.5081383038e-01,-4.4676903407e-02,6.4184177493e-03,5.2983293556e+00,5.2985216035e+00,2.1125002642e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,6.7871447368e-01,1.0475000000e+00,1.1840598579e+00,2.5205105495e-01,-4.0388909044e-02,6.1880664895e-03,5.2983293556e+00,5.2984869082e+00,2.1070589254e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,7.0641710526e-01,1.0475000000e+00,1.1892593978e+00,2.5315788203e-01,-3.5705023398e-02,5.9607786004e-03,5.2983293556e+00,5.2984530139e+00,2.1020731785e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,7.3411973684e-01,1.0475000000e+00,1.1937944894e+00,2.5412326786e-01,-3.0655745247e-02,5.7363714906e-03,5.2983293556e+00,5.2984211461e+00,2.0976349901e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,7.6182236842e-01,1.0475000000e+00,1.1976173921e+00,2.5493704992e-01,-2.5270764329e-02,5.5146984429e-03,5.2983293556e+00,5.2983924906e+00,2.0938297922e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,7.8952500000e-01,1.0475000000e+00,1.2006843204e+00,2.5558990755e-01,-1.9577836590e-02,5.2956909509e-03,5.2983293556e+00,5.2983681730e+00,2.0907352261e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,8.1722763158e-01,1.0475000000e+00,1.2029551011e+00,2.5607328908e-01,-1.3601693029e-02,5.0793512281e-03,5.2983293556e+00,5.2983492492e+00,2.0884201981e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
