kind,index,major_r_m,z_m,psi_norm,description
lcfs,173,1.9969366197183098,0.831377264391272,1.0,exported separatrix contour
lcfs,174,1.974330985915493,0.8304127306312095,1.0,exported separatrix contour
lcfs,175,1.951725352112676,0.8284809926097741,1.0,exported separatrix contour
lcfs,176,1.9291197183098592,0.8255734571396632,1.0,exported separatrix contour
lcfs,177,1.9065140845070423,0.8216662660145887,1.0,exported separatrix contour
lcfs,178,1.886183992803985,0.8172276315789475,1.0,exported separatrix contour
lcfs,179,1.8839084507042254,0.8167725570225804,1.0,exported separatrix contour
lcfs,180,1.8613028169014085,0.8113442439706732,1.0,exported separatrix contour
lcfs,181,1.8386971830985916,0.8048678516646596,1.0,exported separatrix contour
lcfs,182,1.8160915492957748,0.7972658389748524,1.0,exported separatrix contour
lcfs,183,1.7961630932066996,0.789525,1.0,exported separatrix contour
lcfs,184,1.7934859154929579,0.788551078671281,1.0,exported separatrix contour
lcfs,185,1.770880281690141,0.779374513382156,1.0,exported separatrix contour
lcfs,186,1.7482746478873241,0.7688864773331595,1.0,exported separatrix contour
lcfs,187,1.7346417998210484,0.7618223684210526,1.0,exported separatrix contour
lcfs,188,1.7256690140845072,0.7573943001094597,1.0,exported separatrix contour
lcfs,189,1.7030633802816904,0.745089666125251,1.0,exported separatrix contour
lcfs,190,1.685025652492167,0.7341197368421055,1.0,exported separatrix contour
lcfs,191,1.6804577464788732,0.7314401942852403,1.0,exported separatrix contour
lcfs,192,1.6578521126760564,0.7170970558522634,1.0,exported separatrix contour
lcfs,193,1.642585555566414,0.706417105263158,1.0,exported separatrix contour
lcfs,194,1.6352464788732395,0.7014047859840911,1.0,exported separatrix contour
lcfs,195,1.6126408450704226,0.6847395500997562,1.0,exported separatrix contour
lcfs,196,1.6050278911082825,0.6787144736842106,1.0,exported separatrix contour
lcfs,197,1.5900352112676057,0.6669975536446452,1.0,exported separatrix contour
lcfs,198,1.5711273302903621,0.6510118421052631,1.0,exported separatrix contour
lcfs,199,1.5674295774647888,0.6478969479621834,1.0,exported separatrix contour
lcfs,200,1.544823943661972,0.6277873249809766,1.0,exported separatrix contour
lcfs,201,1.5400421784724085,0.6233092105263158,1.0,exported separatrix contour
lcfs,202,1.522218309859155,0.6065052703359891,1.0,exported separatrix contour
lcfs,203,1.5112414836393837,0.5956065789473686,1.0,exported separatrix contour
lcfs,204,1.499612676056338,0.5838837303738487,1.0,exported separatrix contour
lcfs,205,1.4844119510919827,0.5679039473684211,1.0,exported separatrix contour
lcfs,206,1.477007042253521,0.5599337392420877,1.0,exported separatrix contour
lcfs,207,1.4592534474359824,0.5402013157894736,1.0,exported separatrix contour
lcfs,208,1.4544014084507042,0.5346338213912707,1.0,exported separatrix contour
lcfs,209,1.4355361040406636,0.5124986842105264,1.0,exported separatrix contour
lcfs,210,1.4317957746478873,0.5079305785671168,1.0,exported separatrix contour
lcfs,211,1.4130875027003935,0.4847960526315791,1.0,exported separatrix contour
lcfs,212,1.4091901408450704,0.4797383090383754,1.0,exported separatrix contour
lcfs,213,1.3917832992458392,0.4570934210526316,1.0,exported separatrix contour
lcfs,214,1.3865845070422536,0.44993745343912595,1.0,exported separatrix contour
lcfs,215,1.3715411334733985,0.42939078947368414,1.0,exported separatrix contour
lcfs,216,1.3639788732394367,0.4183715090037452,1.0,exported separatrix contour
lcfs,217,1.3523177829412683,0.4016881578947369,1.0,exported separatrix contour
lcfs,218,1.3413732394366198,0.38484150263023936,1.0,exported separatrix contour
lcfs,219,1.334109986228368,0.37398552631578963,1.0,exported separatrix contour
lcfs,220,1.318767605633803,0.3490947900404645,1.0,exported separatrix contour
lcfs,221,1.3169608509466924,0.34628289473684215,1.0,exported separatrix contour
lcfs,222,1.3005006199936733,0.31858026315789467,1.0,exported separatrix contour
lcfs,223,1.296161971830986,0.310530782059225,1.0,exported separatrix contour
lcfs,224,1.2849291752418743,0.2908776315789474,1.0,exported separatrix contour
lcfs,225,1.2735563380281691,0.2686077447084202,1.0,exported separatrix contour
lcfs,226,1.2705725164909083,0.26317500000000016,1.0,exported separatrix contour
lcfs,227,1.2569267894048786,0.23547236842105268,1.0,exported separatrix contour
lcfs,228,1.2509507042253523,0.22160368830052135,1.0,exported separatrix contour
lcfs,229,1.2444058844468833,0.2077697368421052,1.0,exported separatrix contour
lcfs,230,1.2330689425202905,0.18006710526315794,1.0,exported separatrix contour
lcfs,231,1.2283450704225354,0.1664408508808146,1.0,exported separatrix contour
lcfs,232,1.222865737616788,0.1523644736842107,1.0,exported separatrix contour
lcfs,233,1.2139469583017661,0.12466184210526321,1.0,exported separatrix contour
lcfs,234,1.206912459580478,0.09695921052631573,1.0,exported separatrix contour
lcfs,235,1.2057394366197185,0.09079369273208923,1.0,exported separatrix contour
lcfs,236,1.2010000971563273,0.06925657894736847,1.0,exported separatrix contour
lcfs,237,1.196934266043335,0.04155394736842122,1.0,exported separatrix contour
lcfs,238,1.194870721828511,0.01385131578947374,1.0,exported separatrix contour
limiter,1,2.4000000000000004,0.0,,machine limiter
limiter,2,2.399590007062605,0.029692567660761844,,machine limiter
limiter,3,2.3983609071008893,0.059353339776354826,,machine limiter
limiter,4,2.3963153332221685,0.08895055484907624,,machine limiter
limiter,5,2.3934576624797956,0.1184525194396968,,machine limiter
limiter,6,2.389793998759857,0.14782764210558924,,machine limiter
limiter,7,2.38533214897177,0.17704446722963638,,machine limiter
limiter,8,2.380081592690446,0.20607170870369368,,machine limiter
limiter,9,2.3740534454376534,0.23487828343053757,,machine limiter
limiter,10,2.367260415828537,0.26343334460842455,,machine limiter
limiter,11,2.359716756845663,0.2917063147626191,,machine limiter
limiter,12,2.351438211537083,0.31966691848851936,,machine limiter
limiter,13,2.3424419534665026,0.34728521487131897,,machine limiter
limiter,14,2.332746522272509,0.37453162954748814,,machine limiter
limiter,15,2.322371754719618,0.40137698637374364,,machine limiter
limiter,16,2.311338711646597,0.42779253866959277,,machine limiter
limiter,17,2.2996696012368574,0.45374999999999993,,machine limiter
limiter,18,2.287387699051644,0.47922157446520885,,machine limiter
limiter,19,2.2745172652791457,0.5041799864652889,,machine limiter
limiter,20,2.2610834596615357,0.5285985099075304,,machine limiter
limiter,21,2.2471122545672593,0.5524509968254139,,machine limiter
limiter,22,2.2326303466776958,0.5757119053785082,,machine limiter
limiter,23,2.2176650677556835,0.5983563272033124,,machine limiter
limiter,24,2.202244294958389,0.6203600140857556,,machine limiter
limiter,25,2.1863963611488177,0.6416994039267918,,machine limiter
limiter,26,2.170149965648963,0.6623516459732858,,machine limiter
limiter,27,2.153534085863467,0.682294625287172,,machine limiter
limiter,28,2.1365778901858343,0.7015069864266837,,machine limiter
limiter,29,2.119310652579978,0.7199681563142959,,machine limiter
limiter,30,2.101761669208415,0.7376583662668907,,machine limiter
limiter,31,2.0839601774550016,0.7545586731645597,,machine limiter
limiter,32,2.0659352776650017,0.7706509797353703,,machine limiter
limiter,33,2.0477158578987735,0.785918053934378,,machine limiter
limiter,34,2.0293305219676863,0.8003435473961321,,machine limiter
limiter,35,2.010807520992364,0.8139120129409145,,machine limiter
limiter,36,1.9921746886942449,0.826608921115967,,machine limiter
limiter,37,1.9734593806019591,0.8384206757539927,,machine limiter
limiter,38,1.9546884173245387,0.849334628532273,,machine limiter
limiter,39,1.935888032014069,0.8593390925168083,,machine limiter
limiter,40,1.9170838221114632,0.8684233546769795,,machine limiter
limiter,41,1.8983007054406587,0.8765776873573293,,machine limiter
limiter,42,1.8795628806890268,0.8837933586941803,,machine limiter
limiter,43,1.860893792285228,0.8900626419659315,,machine limiter
limiter,44,1.842316099660375,0.8953788238670276,,machine limiter
limiter,45,1.8238516508542786,0.8997362116967329,,machine limiter
limiter,46,1.8055214604059098,0.9031301394550186,,machine limiter
limiter,47,1.7873456914460681,0.9055569728390326,,machine limiter
limiter,48,1.7693436418907416,0.9070141131348018,,machine limiter
limiter,49,1.7515337346157969,0.9075,,machine limiter
limiter,50,1.7339335114775054,0.9070141131348018,,machine limiter
limiter,51,1.716559631029029,0.9055569728390326,,machine limiter
limiter,52,1.6994278697703504,0.9031301394550186,,machine limiter
limiter,53,1.682553126758229,0.899736211696733,,machine limiter
limiter,54,1.6659494313935856,0.8953788238670277,,machine limiter
limiter,55,1.6496299541962038,0.8900626419659317,,machine limiter
limiter,56,1.6336070203707553,0.8837933586941803,,machine limiter
limiter,57,1.617892125963835,0.8765776873573294,,machine limiter
limiter,58,1.6024959564088475,0.8684233546769796,,machine limiter
limiter,59,1.5874284072541816,0.8593390925168084,,machine limiter
limiter,60,1.5726986068699755,0.8493346285322732,,machine limiter
limiter,61,1.5583149409299248,0.8384206757539928,,machine limiter
limiter,62,1.5442850784668054,0.8266089211159671,,machine limiter
