kind,minor_r_m,major_r_m,z_m,psi_norm,psi_wb
lcfs,6.2165492958e-01,2.4716549296e+00,-4.5624296721e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.2959705286e-01,2.4795970529e+00,-4.2939078947e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.3692380783e-01,2.4869238078e+00,-4.0168815789e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.4345182263e-01,2.4934518226e+00,-3.7398552632e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.4426056338e-01,2.4942605634e+00,-3.7030708377e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.4926766332e-01,2.4992676633e+00,-3.4628289474e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.5443636998e-01,2.5044363700e+00,-3.1858026316e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.5901006658e-01,2.5090100666e+00,-2.9087763158e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.6303557829e-01,2.5130355783e+00,-2.6317500000e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.6655418149e-01,2.5165541815e+00,-2.3547236842e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.6686619718e-01,2.5168661972e+00,-2.3272254898e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.6961606070e-01,2.5196160607e+00,-2.0776973684e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.7223907634e-01,2.5222390763e+00,-1.8006710526e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.7444497522e-01,2.5244449752e+00,-1.5236447368e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.7625445165e-01,2.5262544517e+00,-1.2466184211e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.7768594976e-01,2.5276859498e+00,-9.6959210526e-02,1.0000000000e+00,2.1287019677e-01
lcfs,6.7875506109e-01,2.5287550611e+00,-6.9256578947e-02,1.0000000000e+00,2.1287019677e-01
lcfs,6.7947392490e-01,2.5294739249e+00,-4.1553947368e-02,1.0000000000e+00,2.1287019677e-01
lcfs,6.7985086028e-01,2.5298508603e+00,-1.3851315789e-02,1.0000000000e+00,2.1287019677e-01
lcfs,6.7989019122e-01,2.5298901912e+00,1.3851315789e-02,1.0000000000e+00,2.1287019677e-01
lcfs,6.7959218604e-01,2.5295921860e+00,4.1553947368e-02,1.0000000000e+00,2.1287019677e-01
lcfs,6.7895306561e-01,2.5289530656e+00,6.9256578947e-02,1.0000000000e+00,2.1287019677e-01
lcfs,6.7796508030e-01,2.5279650803e+00,9.6959210526e-02,1.0000000000e+00,2.1287019677e-01
lcfs,6.7661670046e-01,2.5266167005e+00,1.2466184211e-01,1.0000000000e+00,2.1287019677e-01
