index,major_r_m,z_m
59,1.8613028169014085,-0.8078444412108677
60,1.8839084507042254,-0.813169131690969
61,1.9050220030206841,-0.8172276315789473
62,1.9065140845070423,-0.8175409029011438
63,1.9291197183098592,-0.8213294951161595
64,1.951725352112676,-0.8241167763623424
65,1.974330985915493,-0.8259244215921597
66,1.9969366197183098,-0.8267592271531173
67,2.0195422535211267,-0.826611176937131
68,2.0421478873239436,-0.8254639848330165
69,2.064753521126761,-0.8232741082897278
70,2.087359154929578,-0.8199928950125748
71,2.1015512707642294,-0.8172276315789473
72,2.1099647887323947,-0.8157150203519715
73,2.1325704225352116,-0.8105693357799295
74,2.1551760563380284,-0.8041547511432162
75,2.1777816901408453,-0.79631139705407
76,2.194177050749168,-0.7895249999999999
77,2.200387323943662,-0.7870856393914534
78,2.222992957746479,-0.7767662858635855
79,2.245598591549296,-0.7644053279376044
80,2.2497547775203848,-0.7618223684210526
81,2.268204225352113,-0.7506697152028784
82,2.2908098591549297,-0.7344306350675189
83,2.2911965993206387,-0.7341197368421052
84,2.3134154929577466,-0.7163941623161185
85,2.3241742923468247,-0.7064171052631578
86,2.3360211267605635,-0.6953646386878976
87,2.351566063124985,-0.6787144736842105
88,2.3586267605633804,-0.6709937674020449
89,2.3747227199777874,-0.6510118421052631
90,2.3812323943661973,-0.6426288221046207
91,2.394582191276479,-0.6233092105263157
92,2.403838028169014,-0.6091657360117637
93,2.411807898749424,-0.5956065789473683
94,2.426443661971831,-0.5687836873094881
95,2.4268784573730997,-0.567903947368421
96,2.4400922352917984,-0.5402013157894736
97,2.449049295774648,-0.5194328023301776
98,2.451793125670033,-0.5124986842105262
99,2.4621573069979,-0.4847960526315789
100,2.471385374444024,-0.4570934210526315
101,2.471654929577465,-0.4562429672099739
102,2.4795970528581197,-0.42939078947368414
103,2.486923807833441,-0.4016881578947368
104,2.493451822633679,-0.3739855263157894
105,2.4942605633802817,-0.3703070837650352
106,2.4992676633164748,-0.34628289473684204
107,2.504436369982195,-0.31858026315789467
108,2.5090100665799535,-0.2908776315789472
109,2.5130355782881066,-0.26317499999999994
110,2.516554181491707,-0.23547236842105268
111,2.5168661971830986,-0.23272254898439906
112,2.519616060700159,-0.2077697368421052
113,2.5222390763374136,-0.18006710526315772
114,2.5244449752163174,-0.15236447368421047
115,2.5262544516526044,-0.12466184210526321
116,2.5276859497597295,-0.09695921052631573
117,2.528755061091405,-0.06925657894736825
118,2.529473924898894,-0.041553947368420996
119,2.529850860283084,-0.01385131578947374
120,2.5298901912247103,0.01385131578947374
121,2.52959218604328,0.04155394736842122
122,2.528953065614819,0.06925657894736847
123,2.527965080298498,0.09695921052631573
124,2.526616700458113,0.12466184210526321
125,2.524892996200613,0.1523644736842107
126,2.522776240081849,0.18006710526315794
127,2.5202465003544616,0.2077697368421052
128,2.5172813923229964,0.23547236842105268
129,2.5168661971830986,0.23893928205360998
130,2.51386564651214,0.26317500000000016
131,2.5099521166735563,0.2908776315789474
132,2.505498725132588,0.31858026315789467
133,2.500459955985707,0.34628289473684215
134,2.494784209067811,0.37398552631578963
135,2.4942605633802817,0.3763858252834252
136,2.4884126102446382,0.4016881578947369
137,2.481258669117895,0.42939078947368414
138,2.473238604296453,0.4570934210526316
